pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	24.833333333333332	13085.166666666666	40.0	4000.0	4771.333333333333	4273.833333333333	6
41	25.1	12658.7	40.0	4000.0	4374.0	4244.7	10
42	26.4	14370.7	42.0	4200.0	5414.2	4714.5	10
43	25.3	14138.8	42.0	4200.0	5309.6	4587.2	10
44	22.0	13437.4	44.0	4400.0	4476.9	4516.5	10
45	20.4	12652.1	44.0	4400.0	3879.5	4328.6	10
46	21.3	14355.9	46.0	4600.0	4739.9	4970.0	10
47	19.6	13495.5	46.0	4600.0	4038.2	4811.3	10
48	21.0	14806.6	48.0	4800.0	4724.8	5233.8	10
49	20.9	14738.5	48.0	4800.0	4728.7	5161.8	10
50	17.8	13878.9	50.0	5000.0	3952.3	4876.6	10
55	14.6	13878.0	54.0	5400.0	3428.1	4995.9	10
60	12.0	14740.7	60.0	6000.0	3501.8	5178.9	10
65	11.3	15355.5	64.0	6400.0	3219.7	5671.8	10
70	9.4	16004.7	70.0	7000.0	2831.0	6103.7	10
75	9.3	17018.8	74.0	7400.0	3051.3	6493.5	10
80	7.9	17626.1	80.0	8000.0	2962.7	6583.4	10
85	7.6	18677.6	84.0	8400.0	3167.8	7025.8	10
90	6.2	18719.3	90.0	9000.0	2798.6	6830.7	10
95	5.9	19402.2	94.0	9400.0	2596.8	7311.4	10
100	5.5	20458.9	100.0	10000.0	2671.3	7687.6	10
130	4.1	24930.8	130.0	13000.0	2363.8	9437.0	10
